FID_888_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_en,Bench,Cat_Bench,Rampa,MC,Pendiente,Tramo,Pit,Cat_Zona,Cat_Carga
1637,197164,236207,23,"649736.23","-----",3178,276,2021,9,5,6,40,30,-24.218155,-69.039848,496159.8645,7321967.999,19484.65145,113578.3189,3184.34350586,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1638,197165,236208,21,"649736.23","64071.16",3178,281,2021,9,5,6,40,31,-24.218137,-69.039932,496151.3344,7321969.989,19476.12142,113580.3094,3184.47412109,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1619,196817,235860,21,"649686.94","-----",3179,277,2021,9,5,6,16,22,-24.218127,-69.039895,496155.0911,7321971.098,19479.87813,113581.4177,3184.54370117,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1639,197166,236209,15,"649736.23","64071.17",3178,293,2021,9,5,6,40,33,-24.218115,-69.039978,496146.6628,7321972.424,19471.44982,113582.7439,3184.62792969,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1620,196818,235861,20,"649686.94","64067.66",3177,285,2021,9,5,6,16,24,-24.218115,-69.03997,496147.4752,7321972.424,19472.26215,113582.7442,3184.58154297,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1640,197167,236210,0,"649736.23","-----",3178,297,2021,9,5,6,40,40,-24.218095,-69.040008,496143.616,7321974.637,19468.40295,113584.9574,3184.67871094,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1624,196822,235865,13,"649686.94","-----",3173,231,2021,9,5,6,16,30,-24.218092,-69.040047,496139.6557,7321974.968,19464.44275,113585.2885,3184.72363281,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1625,196823,235866,0,"649686.94","64067.68",3173,223,2021,9,5,6,16,31,-24.218092,-69.040047,496139.6557,7321974.968,19464.44275,113585.2885,3184.72363281,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1623,196821,235864,15,"649686.94","64067.68",3173,159,2021,9,5,6,16,29,-24.21809,-69.040047,496139.6557,7321975.19,19464.44268,113585.5099,3184.73046875,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1621,196819,235862,17,"649686.94","64067.67",3175,294,2021,9,5,6,16,27,-24.21809,-69.040038,496140.5696,7321975.19,19465.35655,113585.5102,3184.7199707,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1627,196825,235868,8,"649686.94","64067.68",3173,311,2021,9,5,6,16,33,-24.218088,-69.040062,496138.1325,7321975.411,19462.9195,113585.7309,3184.76123047,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1626,196824,235867,10,"649686.94","64067.68",3173,286,2021,9,5,6,16,32,-24.218088,-69.040055,496138.8433,7321975.411,19463.63029,113585.7311,3184.74462891,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1622,196820,235863,16,"649686.94","64067.67",3174,288,2021,9,5,6,16,28,-24.218087,-69.040047,496139.6556,7321975.522,19464.44259,113585.8421,3184.73046875,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1628,196826,235869,6,"649686.94","64067.68",3173,305,2021,9,5,6,16,34,-24.218083,-69.040077,496136.6092,7321975.964,19461.39622,113586.2841,3184.77514648,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1629,196827,235870,5,"649686.94","64067.68",3172,317,2021,9,5,6,16,38,-24.218075,-69.040093,496134.9843,7321976.849,19459.77131,113587.1694,3184.81054688,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1630,196828,235871,7,"649686.94","64067.69",3172,324,2021,9,5,6,16,39,-24.218075,-69.040093,496134.9843,7321976.849,19459.77131,113587.1694,3184.81054688,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1631,196829,235872,9,"649687.51","-----",3172,334,2021,9,5,6,16,40,-24.218075,-69.040093,496134.9843,7321976.849,19459.77131,113587.1694,3184.81054688,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1641,197168,236211,8,"649736.23","64071.19",3178,307,2021,9,5,6,40,41,-24.21804,-69.040123,496131.937,7321980.724,19456.72396,113591.0437,3184.8828125,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1609,197169,236212,9,"649736.43","64071.19",3177,314,2021,9,5,6,40,42,-24.218015,-69.040168,496127.3668,7321983.49,19452.1538,113593.8104,3184.96142578,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1610,197170,236213,11,"649736.43","64071.19",3177,319,2021,9,5,6,40,43,-24.21797,-69.040207,496123.4053,7321988.472,19448.19225,113598.7916,3185.16235352,25,"Out Bench","Out Bench","Main ramp",3,9.37,"RN_T24","ENORTE","INPIT",""
1611,197171,236214,14,"649736.43","64071.2",3177,327,2021,9,5,6,40,44,-24.217918,-69.040245,496119.545,7321994.228,19444.33202,113604.5479,3185.19970703,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
1606,196830,235873,5,"649687.51","64067.69",3171,342,2021,9,5,6,16,41,-24.217902,-69.040245,496119.5445,7321995.999,19444.33151,113606.3194,3185.14428711,3,"Out Bench","Out Bench","Buff 5 min",99,0.0,"","ENORTE","INPIT",""
1599,197172,236215,19,"649736.43","64071.2",3177,334,2021,9,5,6,40,45,-24.217857,-69.040268,496117.2076,7322000.981,19441.99462,113611.3011,3184.84765625,4,"Out Bench","Out Bench","Buff 10 m",99,0.0,"","ENORTE","INPIT",""
1596,196831,235874,7,"649687.51","64067.7",3170,345,2021,9,5,6,16,42,-24.21785,-69.040268,496117.2074,7322001.756,19441.9944,113612.0762,3184.85791016,4,"Out Bench","Out Bench","Buff 10 m",99,0.0,"","ENORTE","INPIT",""
1597,196832,235875,9,"649687.51","64067.7",3170,350,2021,9,5,6,16,43,-24.217797,-69.040292,496114.7687,7322007.624,19439.55571,113617.9436,3184.49829102,4,"Out Bench","Out Bench","Buff 10 m",99,0.0,"","ENORTE","INPIT",""
1600,197173,236216,22,"649738.63","64071.21",3177,344,2021,9,5,6,40,46,-24.217785,-69.040292,496114.7683,7322008.952,19439.55533,113619.2723,3184.50366211,4,"Out Bench","Out Bench","Buff 10 m",99,0.0,"","ENORTE","INPIT",""
1598,196833,235876,11,"649687.51","64067.71",3169,356,2021,9,5,6,16,44,-24.21774,-69.040292,496114.7669,7322013.935,19439.55389,113624.2546,3184.20019531,5,"Out Bench","Out Bench","Buff 15 m",99,0.0,"","ENORTE","INPIT",""
1592,197174,236217,24,"649738.63","64071.21",3178,354,2021,9,5,6,40,47,-24.217708,-69.040292,496114.7659,7322017.478,19439.55287,113627.7977,3184.62695313,6,"Out Bench","Out Bench","Buff 20 m",99,0.0,"","ENORTE","INPIT",""
1590,196834,235877,14,"649687.51","64067.72",3169,1,2021,9,5,6,16,46,-24.217608,-69.040298,496114.1534,7322028.549,19438.94043,113638.8695,3184.93237305,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
1588,197175,236218,28,"649738.63","-----",3178,356,2021,9,5,6,40,50,-24.217532,-69.040313,496112.6279,7322036.964,19437.41487,113647.2837,3184.95727539,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
1522,197176,236219,30,"649738.63","64071.24",3178,0,2021,9,5,6,40,51,-24.217438,-69.040313,496112.6249,7322047.371,19437.41187,113657.6914,3184.89135742,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
1503,196835,235878,19,"649688.16","-----",3169,2,2021,9,5,6,16,50,-24.217383,-69.040313,496112.6231,7322053.461,19437.41011,113663.7809,3184.56811523,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
988,196846,235889,38,"649689.77","64068.02",3169,63,2021,9,5,6,17,18,-24.215155,-69.039185,496227.0931,7322300.177,19551.88012,113910.4969,3183.45996094,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
946,196847,235890,38,"649689.77","64068.02",3169,69,2021,9,5,6,17,19,-24.215127,-69.039078,496237.9574,7322303.28,19562.74442,113913.6,3182.87060547,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
933,196155,235198,32,"649592.12","-----",3172,74,2021,9,5,5,34,27,-24.215127,-69.03904,496241.8161,7322303.281,19566.60308,113913.6011,3183.00463867,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
947,196848,235891,40,"649689.77","-----",3169,70,2021,9,5,6,17,20,-24.21509,-69.038963,496249.6338,7322307.38,19574.42079,113917.6999,3182.65649414,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
948,196849,235892,40,"649689.77","-----",3169,73,2021,9,5,6,17,22,-24.215065,-69.038857,496260.3967,7322310.151,19585.18365,113920.4709,3182.63574219,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
954,197188,236231,46,"649741.69","64071.56",3176,73,2021,9,5,6,41,17,-24.215053,-69.038857,496260.3963,7322311.48,19585.18328,113921.7996,3180.50488281,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
949,196850,235893,40,"649689.77","64068.06",3169,75,2021,9,5,6,17,23,-24.215038,-69.038742,496272.0733,7322313.144,19596.86035,113923.4636,3182.30566406,0,"Out Bench","Out Bench","Outlier",99,0.0,"","ENORTE","INPIT",""
